分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 175, IPv6: 0, 最小延迟: 500 ms, 最高速率: 1.61 M/s, 平均速率: 1.02 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 134, IPv6: 0, 最小延迟: 242 ms, 最高速率: 1.61 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 137, IPv6: 0, 最小延迟: 4 ms, 最高速率: 56.96 M/s, 平均速率: 1.08 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 143, IPv6: 0, 最小延迟: 222 ms, 最高速率: 13.59 M/s, 平均速率: 4.41 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 146, IPv6: 0, 最小延迟: 223 ms, 最高速率: 1.61 M/s, 平均速率: 0.97 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 6, IPv4: 114, IPv6: 0, 最小延迟: 222 ms, 最高速率: 1.14 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 6, IPv4: 134, IPv6: 0, 最小延迟: 222 ms, 最高速率: 0.93 M/s, 平均速率: 0.81 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 133, IPv6: 0, 最小延迟: 221 ms, 最高速率: 1.62 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 133, IPv6: 0, 最小延迟: 5 ms, 最高速率: 43.86 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 135, IPv6: 0, 最小延迟: 191 ms, 最高速率: 59.98 M/s, 平均速率: 1.83 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 6, IPv4: 136, IPv6: 0, 最小延迟: 6 ms, 最高速率: 48.07 M/s, 平均速率: 0.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 6, IPv4: 118, IPv6: 0, 最小延迟: 5 ms, 最高速率: 53.81 M/s, 平均速率: 0.77 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 5 ms, 最高速率: 47.14 M/s, 平均速率: 1.09 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 125, IPv6: 0, 最小延迟: 222 ms, 最高速率: 2.80 M/s, 平均速率: 1.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 131, IPv6: 0, 最小延迟: 222 ms, 最高速率: 3.04 M/s, 平均速率: 1.14 M/s, 最高分辨率: 1920x1080
